Flow_Timeout(s),Lambda_Rate(packets/s),Average_Delay(s)
2.0,0.5700000000000001,1.060252743747108
2.0,0.5800000000000001,1.0585194451229025
2.0,0.59,1.0440524616138125
2.0,0.6,1.0644458718888605
2.0,0.61,1.0683809933077677
2.0,0.62,1.0063800122770885
2.0,0.63,1.009573417254376
2.0,0.64,1.0546403618669276
2.0,0.65,1.0266516864215227
2.0,0.66,1.022730873581157
2.0,0.67,0.9969925667855303
2.0,0.68,0.9812594160233171
2.0,0.6900000000000001,0.9871655318658353
2.0,0.7000000000000001,0.9843623257536608
2.0,0.7100000000000001,0.9803239956787774
2.0,0.72,0.9868194282488914
2.0,0.73,0.9934805760205109
2.0,0.74,0.9670976112951375
2.0,0.75,0.9770477146533536
2.0,0.76,0.9435003653723192
2.0,0.77,0.9445989772529476
2.0,0.78,0.9449000770013705
2.0,0.79,0.9097473754495119
2.0,0.8,0.9425275661538479
2.0,0.81,0.9395668328278067
2.0,0.8200000000000001,0.9281054177753684
2.0,0.8300000000000001,0.9167272728044802
2.0,0.8400000000000001,0.9284453284132845
2.0,0.85,0.8949681931618877
2.0,0.86,0.8685027339971066
2.0,0.87,0.9193331816601873
2.0,0.88,0.8870965722609354
2.0,0.89,0.9090713338306771
2.0,0.9,0.9055231821668439
2.0,0.91,0.8918225828969758
2.0,0.92,0.920031425490026
2.0,0.93,0.8936283189769735
2.0,0.9400000000000001,0.8909426621565175
2.0,0.9500000000000001,0.8778011133763349
2.0,0.9600000000000001,0.8515818612016095
2.0,0.97,0.8758761251837839
2.0,0.98,0.8767226587633201
2.0,0.99,0.8834969524546097
2.0,1.0,0.8826583036737428
2.0,1.01,0.8674919603883655
2.0,1.02,0.8721486023541993
2.0,1.03,0.8880504470060536
2.0,1.04,0.8752040113981668
2.0,1.05,0.8678189814590132
2.0,1.06,0.8812891815228363
2.0,1.07,0.8859453444136202
2.0,1.08,0.8831613506402993
2.0,1.09,0.8658898677906987
2.0,1.1,0.8664019502267012
2.0,1.11,0.8241520701434732
2.0,1.12,0.8193661000342987
2.0,1.1300000000000001,0.8750587132567677
2.0,1.1400000000000001,0.8349323885437457
2.0,1.1500000000000001,0.8491631203149228
2.0,1.1600000000000001,0.8404427940486087
2.0,1.17,0.8288310440546769
2.0,1.18,0.8190359608380896
2.0,1.19,0.8376721482345246
2.0,1.2,0.8552470678176107
2.0,1.21,0.8558806539253074
2.0,1.22,0.852263072650613
2.0,1.23,0.8127966120968697
2.0,1.24,0.8643443107307524
2.0,1.25,0.8482067051733797
2.0,1.26,0.8255679773502165
2.0,1.27,0.8112303829627924
2.0,1.28,0.8309437070335952
2.0,1.29,0.8474324096070575
2.0,1.3,0.8321101999925554
2.0,1.31,0.8264770809838571
2.0,1.32,0.8525388265608831
2.0,1.33,0.8610692532639467
2.0,1.34,0.828718797808322
2.0,1.35,0.8278230893121896
2.0,1.36,0.8270875255929824
2.0,1.37,0.8090537749157297
2.0,1.3800000000000001,0.8428053528250259
2.0,1.3900000000000001,0.832693063966576
2.0,1.4000000000000001,0.8610292987704501
2.0,1.4100000000000001,0.8591893304115737
2.0,1.42,0.8527840902635104
2.0,1.43,0.8298785973800052
2.0,1.44,0.8202284901950597
2.0,1.45,0.8143377922535392
2.0,1.46,0.8131251021927979
2.0,1.47,0.8428912867182624
2.0,1.48,0.8261210507725675
2.0,1.49,0.8705908372137764
2.0,1.5,0.857385749436957
2.0,1.51,0.8379943320856915
2.0,1.52,0.8688458506290349
2.0,1.53,0.8353685693870878
2.0,1.54,0.822859387607699
2.0,1.55,0.8315029418513376
2.0,1.56,0.863072389261517
2.0,1.57,0.8946420147856752
2.0,1.58,0.8595085456404753
2.0,1.59,0.9054726871543777
2.0,1.6,0.8918673945540332
2.0,1.61,0.8707476585230495
2.0,1.62,0.8870348685422721
2.0,1.6300000000000001,0.8668444812424909
2.0,1.6400000000000001,0.8631521409729809
2.0,1.6500000000000001,0.877801929630954
2.0,1.6600000000000001,0.8479461308131514
2.0,1.6700000000000002,0.8951938080073746
2.0,1.68,0.9199795018185231
2.0,1.69,0.8950281346424445
2.0,1.7,0.9071920735701046
2.0,1.71,0.9326134690837845
2.0,1.72,0.9184247942152108
2.0,1.73,0.9423619216340193
2.0,1.74,0.9837295813882931
2.0,1.75,0.9339258199375691
2.0,1.76,0.9077903792658278
2.0,1.77,0.9393050533008349
2.0,1.78,0.9012886519704232
2.0,1.79,0.9104364188831631
2.0,1.8,0.9082999384591766
2.0,1.81,0.936143040310124
2.0,1.82,0.9646726585765799
2.0,1.83,0.96622688959755
2.0,1.84,0.9967223028100405
2.0,1.85,1.017456740623735
2.0,1.86,1.0279220675413887
2.0,1.87,0.96767621603495
2.0,1.8800000000000001,0.9949596095235088
2.0,1.8900000000000001,1.0172988719833358
2.0,1.9000000000000001,1.0465853157312512
2.0,1.9100000000000001,0.9943956946729556
2.0,1.9200000000000002,1.0169796080189037
2.0,1.93,1.0280136576358343
2.0,1.94,1.0512724199010308
2.0,1.95,1.0730700340042088
2.0,1.96,1.011598814385515
2.0,1.97,1.0652941839039884
2.0,1.98,1.095519060620091
2.0,1.99,1.0920909491895698
2.0,2.0,1.1131788800283502
2.0,2.01,1.1041277750581913
2.0,2.02,1.092254611377059
2.0,2.03,1.2004667647648803
2.0,2.04,1.1482800448610693
2.0,2.05,1.1099302367020132
2.0,2.0599999999999996,1.2348392382839306
2.0,2.07,1.1607670995315176
2.0,2.0799999999999996,1.1335091159314492
2.0,2.09,1.1629105844781649
2.0,2.0999999999999996,1.1804877018080495
2.0,2.11,1.1519672532381235
2.0,2.1199999999999997,1.2287201672173758
2.0,2.13,1.2174221602246535
2.0,2.1399999999999997,1.2078564826633444
2.0,2.15,1.243017042723417
2.0,2.1599999999999997,1.3067018212715056
2.0,2.17,1.2878440284486325
2.0,2.1799999999999997,1.2271141620627661
2.0,2.19,1.3497438169135314
2.0,2.1999999999999997,1.294210913693711
2.0,2.21,1.2570199496537213
2.0,2.2199999999999998,1.317139818008088
2.0,2.23,1.3924422827180933
